city,country
(Amsterdam,N.Y.)
(Chambersburg),Penn.
(New Bedford),United States
(Rockaway)(Rothaway),Long Island
"?, Ct",Usa
Abbingtfon,Ma
Aberdeen,Scotland
Accomack Co.,Va
Acton,Mass.
"Adam, Me",Usa
Albany,Usa
Albany N.Y.,United States
Albany Nyork,United States
"Albany, Ny",Usa
Albion,Usa
Alexander,Va
Alexandria,Dc
Allisburgh?,Mi
Almira,Usa
Almira St.,Ny
Alva,Maine
Amherst,Ma
Amora?,Ny
Anarundell,Md
Andover,United States
Andover?,Ma
Annapolis,Md
Argyle,Usa
Ashfield,United States
Ashford,Usa
Assonet Mass,United States
Astonia,Ny
"Astonia, Ny",Usa
Athens,Ny
"Athens, Ga",Usa
"Athens, Pa",Usa
Attleborough,Usa
Auburn,Usa
Augusta,Usa
Australia,England
B?,Usa
Babylon,Ny
"Babylon, Ny",Usa
Bahia,South America
Baltic,Usa
Baltimore,Md
Baltimore Md,United States
"Baltimore, Md",Usa
Bangor,Usa
Barnsley,Nh
Barnstable,United States
Barre,Ma
Bath,Usa
Bath Maine,United States
Bedford,Nh
Belchertown,Ma
Belfast,England
Belville,Usa
Berkley,Ma
"Berkley, Ma",Usa
Berlin,Usa
Berwick,Maine
Bethlehem,Nh
Bethpage,Nj
Beverly,Usa
Billerica Mass,United States
Binghampton,Usa
Birmingham,England
Blackstone,Usa
"Blackstone, Ri",Usa
Blackstone?,Usa
Blanford(?),Ct
Block Island,Ny
Bloomfield,Nj
Bloomingdale,Ny
Blumfield,Me
Bolton,Ct
Bona Vista,Cape Verde
"Bona Vista, Cape Verde",Portugal
Bonavista,Cape De Verde
Bonivesta,Portuguese
Bordeaux,France
Borzah,Ct
Boston,Ma
Boston Mass,United States
"Boston, Ma",Usa
"Boston, Ny",Usa
Bosyon,United States
Boylston,United States
Bozrah,Usa
"Bozrah, Ct",Usa
Bozrah?,Ct
Brandywine,De
Branford,Usa
Brattleborough,Vt
Brava,Usa
Bravo,Cape De Verde
Bravo[,Cape De Verdes]
Brewster,United States
Brickfield,Me
Bridgehampton,Ny
"Bridgehampton, Ny",Usa
Bridgeport,Usa
"Bridgeport, Ct",Usa
Bridgetown,Usa
Bridgewate,Usa
Bridgewater,United States
Brighton,Usa
"Brighton, Ny",Usa
Bristol,England
Bristol Ri,United States
"Bristol, Ri",Usa
Brittany,Great Britian
Brockford,Nc
"Brook Haven, Ny",Usa
Brookfield,Usa
Brookhaven,Usa
Brooklin,Usa
Brooklyn,Usa
"Brooklyn, Ny",English
Brunswick,Me
Bucks Co.,Pa
Bucksport,Me
Buffalo,Usa
"Buffalo, Ny",Usa
Burlington,Unknown
"Burlington, Vt",Great Britain
Bushwick,United States
Buxport,Usa
Cabot,Vt
Calais,Me
"Calais, Me",Usa
Caldwell,Ny
Callis,Me
Cambria,Ny
"Cambria, Ny",Usa
Cambridge,Ma
"Cambridge, Ma",Usa
Camden,Nj
Canaan,Vt
"Canaan, Vt",Usa
Canada,Great Britain
Canandaigua,Ny
Canterbury,Usa
Canton,Me
Cape Cod,Usa
Cape Da Verde,Island Of St. Vincent
Cape De Verde,Unknown
Cape Elizabeth,United States
Cape Nicholas,6 Islands
Carbondale,Usa
Carlisle,Pa
"Carlisle, Pa",Usa
"Carthage, Me",Usa
Carver,United States
"Casenovia, Ny",Usa
"Cassapolis, Mi",Usa
Castine,United States
Casts?,Usa
Cateragus Co.,Ny
"Cateragus County, Ny",Usa
Catskill,Ny
"Catskill, Ny",Usa
Cavandish,United States
Cazenovia,Ny
Chambersburg,Pa
"Chambersburg, Pa",Usa
Charleston,Usa
"Charleston, Ri",Usa
"Charleston, Sc",Usa
Charlestown,Ri
"Charlestown, Ma",Usa
"Charlestown, Ri",Usa
Charlston,S.C.
Chatham,Usa
Chatham Mass,United States
"Chatham, Ct",Usa
Chemung Co.,Ny
Chenango Bromacho,Nj
"Cherry Creek, Ny",Usa
Cheshire,Ct
Chester,Ns
Chester County,Penn
"Chester, Vermont",United States
Chester?,Usa
Chesterfield,Usa
Chicago,Usa
Chilmar,United States
Chilmarck,United States
Chilmark,United States
Chilmark Mass,United States
"Chilmark, Ma",Usa
Cincinatti,Usa
City Of New York,United States
Clayton,Ny
Cleveland,Oh
"Clifton Rock, Ny",Usa
Clinton,Nj
Clintonville,Usa
Cloverland,Usa
Coblers Hill,United States
Cochrane[?],Ny
Cocksaxie,Usa
"Cocksaxie, Ny",Usa
Coeymans,Ny
Colchester,Usa
"Colchester, Ct",Usa
Coldspring,Usa
Columbia,Usa
Columbia Co.,Pa
"Columbia, Ct",Usa
"Columbus, Ct",Usa
Concord,Ma
"Concord, Nh",Usa
Conesville,Usa
Connecticut,Usa
Conquest,Usa
Cooperstown,Ny
Coorhors?,Usa
Copenhagen,Denmark
Cork,Ireland
Cornish[?],Nh
Coventry,R.I.
"Coventry, R.I.",United States
"Coventry, Ri",Usa
Covington,Ma
Craftsbury,Vt
Cranston,Ri
"Cranston, Ri",Usa
Cumberland,Usa
Cumberland Ri,United States
Cutler,Me
Danbury,Usa
Danbury?,Usa
Danvers,Ma
Dartmouth,Ma
Dartmouth Mass,United States
"Dartmouth, Ma",Usa
Dedham,Ma
Deer Isle Maine,United States
Deerfield,Usa
Delaware,Usa
Denmark,Unknown
Dennis,Ma
Derby,Usa
Detroit,Usa
Dighton,Ma
Dorchester,Nj
Douglas,Ma
Dover,United States
Drummond,Va
Dryden,Ny
Dryden Co.,Ny
"Dryden, Ny",Usa
Dublin,Ireland
Ducher?,Ireland
Duchess Co.,Ny
Dudley,Ma
"Dudley, Ma",Usa
Durham,Usa
"Durham, Ct",Usa
Dutchess Co.,Ny
Duxbury,Usa
E. Lyme,Usa
"Earl Minden, Ny",Usa
East Chester,Ny
East Greenwich,Ri
"East Greenwich, Ri",Usa
East Haddam,Usa
"East Haddam, Ct",Sandwich Islands
East Hampton,Usa
East Hartford,Ct
East Lyme,Usa
East Lyme?,Usa
East New York,Usa
East Pork,Usa
East Windsor,Usa
East?,Ma
Eastern Shore,Md
Eastford,Ct
"Easthampton, Ny",Usa
Easton,Ma
Eastport,Usa
"Eastport, Me",Usa
Edgarton,United States
Edgartown,Ma
Edgartown Mass,United States
"Edgartown, Ma",Usa
Edgecomb,Usa
Edinborough,Scotland
Elizabethtown,Nj
Ellsworth,Me.
Embden,United States
Enfield,Ct
England,England
Erie,Pa
Essex,Usa
"Essex, Ct",Usa
Exeter,Ri
Exeter N. Hampshire,United States
"Exeter, Ri",Usa
Fabius,Ny
"Fabius, Ny",Usa
Faial,Portugal
Fair Haven,United States
Fair Haven Mass,United States
"Fair Haven, Ct",Usa
Fairfield,Usa
Fairhaven,United States
Fairhaven Mass,United States
"Fairhaven, Ma",Usa
Fall River,Ma
"Fall River, Ma",Usa
Falmouth,United States
"Falonville, Ny",Usa
Farmington,Usa
Farmington Me.,United States
"Farmington, Ct",Usa
Fayal,Azores
"Fayal, Azores",Portugal
Fayette,Me
"Fayette, Me",Usa
Felkin,Ny
Fial,Portugal
Finland?,Ireland?
Fishers Island,Ny
Fishkill,Usa
Florence,Ny
Flores,Western Island
Flushing,Usa
Fogo,Cape De Verde
Foreign,Foreign
Fort Edwards,Usa
Foxcroft,United States
Frankford,Usa
Frankfort,Usa
Franklin,Ct
"Franklin, Ct",Usa
Franklyn,Usa
Frederick Co.,Va
Fredericktown,Vp
Fredricksburg,Va.
Freetown,Ma
"Freetown, Ma",Usa
Gabarouch?,British Columbia
Galen,Ny
"Galen, Ny",Usa
Galena,Il
Galveston,Tx
Ganex,Scotland
Gardner,United States
Geneva,Usa
Georgetown,Dc
"Georgetown, Dc",United States
Georgia,Vt
German Flats,Nj
Germantown,Ny
Germany,Germany
Gibraltar,Spain
Glanciscally?,Ny
Glasbonbury,Usa
Glastonbury,Usa
"Glastonbury, Ct",Usa
Glastonbury?,Ct
Glen Cove,Ny
Glenville,Usa
Gloucester,United States
Gorham,Me
"Gorham, Me",Usa
Gorton,Usa
Goshen,Ct
"Goshen, Ct",Usa
Gouglstown?,Ny?
Gracioza,Western Islands
Grafton,Mass.
Granby,Usa
Granville,Ny[?]
"Granville, Ny[?]",Usa
Great Barrington,Usa
Great Egg Harbor,Usa
Great Falls,Usa
Greenbush,Ny
Greene Co.,Ny
Greenfield,Usa
Greenock,Scotland
"Greenport, Ny",Usa
Greensborgh,La?
Greensborough,Vt
Greenville,Usa
Greenwich,Usa
Greenwich Mass,United States
Grey,Me
Griswold,Usa
"Griswold, Ct",Usa
Groton,Usa
"Groton, Ct",Usa
"Groton, Ny",Usa
Guilford,Conn.
Haddam,Usa
Hadley,Ma
Hagerstown,Ma
Hairfield,Vt
"Hairfield, Vt",Usa
Half Moon,Ny
Halifax,Canada
Hallowel,United States
Hallowell,United States
"Hallowell, Maine",United States
Hallsburg,Ny
"Hallsburg, Ny",Usa
Hamilton,Ny
Hampden,Me
"Hampden, Me",Usa
Hampstead,United States
Hampton,Ct
"Hampton, Ct",Usa
Hanson,United States
Hardwick,Ms(?)
Harlem,Ny
Harmony,United States
Harpswell,Me
Harrington,Nj
Harrisburg,Pa
Hartford,Ct
"Hartford, Ct",Usa
Harvard,United States
Haventrea,Ny?
Haverhill,Ma
Haverill,Ma
Haverstraw,Usa
Havre,France
Hebron,Ct
Hempstead,Usa
Hemstead,Usa
Hillsborough,United States
Hillsdale,Usa
"Hillsdale, Ny",Usa
Hingham,Massachusetts
Hoboken,Nj
Holden,Usa
Holland,Me
Hollann Purder,Ny
Hollis,Nh
Holliston,Usa
Holmes Hole,Usa
Holmes Hole Vinyd,United States
Holmes Hole [-],United States
Holton,Me
Hong Kong,China
"Hong Kong, China",China
Hope,Ny
Hopewell,Usa
"Hopewell, Ny",Usa
Hopkinton,Ri
Horntown,Va
"Horntown, Va",Usa
Hudson,Ny
Hudson Ny,United States
"Hudson, Ny",Usa
Hunter,Ny
"Hunter, Ny",Usa
Huntington,Ny
"Huntington, Ny",Usa
"Huntington, Pa",Germany
"Indistry, Maine",United States
Industry,Maine
Iowa,Usa
Ipswich,Usa
Ireland,Great Britain
Isle Of Man,England
Ithaca,Ny
Ithica,United States
"Jackson, Pa",Usa
Jacksonville,Usa
Jamaica,Usa
Jefferson Co.,Ny
Jericho,Vt
Jerrico,Ny
Jersey,English
Jersey City,Usa
Jewett City,Usa
Johnson,Ri
Johnstown,Usa
Keene,Nh
Kenebec,United States
Kennebunk,Usa
Kent,Usa
Kent Co.,Ny
Kentucky,Usa
Keyport,Usa
Killingly,Ct
Kinderhook,Usa
"Kinderhook, Ny",Usa
Kingston,Great Britain
"Kingston, Ny",Usa
Kingstown,Ri
Kortright,Ny
Lancashire,Usa
Lancaster,Penn.
Lancaster Co.,Pa
Lancester,Pa
Landgate,Vt
Landuff,United States
Lanesboro,Ma
Lansinburgh,Usa
Lay Karbrom,Usa
Lebanon,Ct
"Lebanon, Ct",Usa
Ledyard,Usa
"Ledyard, Ct",Usa
Leeds,England
Leipsic,Usa
Leverett,United States
Lewiston,Ny
Lewiston Falls,Usa
Lewistown,Usa
Lexington,Ky
"Lexington, Mass",United States
Lima,Usa
Lisbon,Ct
"Lisbon, Ct",Usa
Litchfield,Ct
"Litchfield, Ct",Usa
Little Compton,United States
Little Compton R.I.,United States
"Little Compton, Ri",Usa
Little Egg Harbor,Usa
"Little Falls, Nj",Usa
Liverpool,England
Lockport,N.Y.
London,England
Long Island,Usa
Louisville,Ky
"Louisville, Ky",Usa
