city,country,count
New Bedford,Unknown,2110
Null,Null,1388
New London,USA,1264
New Bedford,USA,1117
New York,USA,592
New York,Unknown,569
"New Bedford, Ma",Unknown,376
Boston,Unknown,372
Fairhaven,Unknown,320
Dartmouth,Unknown,314
New London,Unknown,313
Groton,USA,280
Germany,Unknown,264
Brava,Unknown,260
Stonington,USA,259
Nantucket,Unknown,211
Azores,Unknown,197
Boston,USA,188
Fayal,Unknown,185
Westport,Unknown,178
Fairhaven,USA,177
Unknown,USA,173
Rochester,Unknown,169
Cape Verde,Unknown,163
Philadelphia,Unknown,160
Dartmouth,USA,159
Salem,USA,147
Tiverton,Unknown,140
Edgartown,Unknown,136
Tiverton,USA,133
Unknown,Unknown,132
Norwich,USA,122
Fair Haven,USA,112
Montville,USA,108
Westport,USA,104
Nantucket,USA,102
New York City,Unknown,100
Philadelphia,USA,98
Waterford,USA,98
New London,Portugal,97
Wareham,Unknown,96
Tisbury,USA,93
Mattapoisett,Unknown,90
Falmouth,Unknown,89
Marion,Unknown,87
Saint Helena,Unknown,82
Flores,Unknown,81
"Pico, Azores",Unknown,79
Chilmark,Unknown,74
Fall River,Unknown,69
Tisbury,Unknown,69
Rochester,USA,68
"Boston, Ma",Unknown,65
"Sao Jorge, Azores",Unknown,65
Baltimore,Unknown,64
Providence,Unknown,61
"Brava, Cape Verde",Unknown,59
Preston,USA,54
Hartford,USA,51
Albany,USA,50
New Bedford,Portugal,49
Fogo,Unknown,48
Ireland,Unknown,46
"Santo Antao, Cape Verde",Unknown,45
"Rochester, Ma",Unknown,45
"Sao Nicolau, Cape Verde",Unknown,42
Freetown,Unknown,40
Lyme,USA,40
England,Unknown,39
Acushnet,Unknown,39
"Rochester, Ny",Unknown,39
"Albany, Ny",Unknown,39
Southampton,USA,39
Gay Head,Unknown,38
"Providence, Ri",Unknown,38
Middleborough,Unknown,38
Edgartown,USA,38
Unknown,Portugal,38
Providence,USA,37
Taunton,Unknown,36
Westerly,USA,36
Sippican (Marion),Unknown,36
Fall River,USA,35
Baltimore,USA,35
Guam,Unknown,35
Lowell,Unknown,34
Plymouth,Unknown,34
Hawaii,Unknown,34
"Sao Miguel, Azores",Unknown,33
Chilmark,USA,33
Hartford,Unknown,32
Albany,Unknown,32
Charlestown,USA,31
Brooklyn,USA,31
Scotland,Unknown,30
"New York, Ny",Unknown,30
Portugal,Unknown,30
West Indies,Unknown,30
Portland,Unknown,30
"Troy, Ny",Unknown,30
"Tisbury, Ma",Unknown,30
"Tiverton, Ri",Unknown,29
Brooklyn,Unknown,29
"Newark, Nj",Unknown,29
"New London, Ct",Unknown,29
"Brooklyn, Ny",Unknown,28
Sandwich,Unknown,28
New London,Great Britain,28
New Bedford,Foreign,28
Newport,Unknown,27
New Orleans,Unknown,27
"Wareham, Ma",Unknown,26
Troy,USA,26
Long Island,USA,25
"Sao Taigo, Cape Verde",Unknown,24
Salem,Unknown,24
Freetown,USA,24
"Philadelphia, Pa",Unknown,23
"Dartmouth, Ma",Unknown,23
Springfield,Unknown,23
Sag Harbor,USA,23
"Fairhaven, Ma",Unknown,23
Buffalo,Unknown,23
"Fayal, Azores",Unknown,23
"Westport, Ma",Unknown,22
"Portland, Me",Unknown,22
Lynn,Unknown,22
Worcester,Unknown,22
"Southampton, Ny",Unknown,22
Troy,Unknown,22
Little Compton,USA,22
Little Compton,Unknown,21
New York,Great Britain,21
"New London, Ct",USA,21
New Haven,USA,21
Sandwich,USA,21
New Haven,Unknown,20
"Falmouth, Ma",Unknown,20
"Bangor, Me",Unknown,20
"Easton, Pa",Unknown,20
Honolulu,Unknown,20
Southampton,Unknown,20
Charlestown,Unknown,20
Martha'S Vineyard,Unknown,20
Ledyard,USA,20
Hudson,USA,20
New Bedford,Great Britain,20
"Syracuse, Ny",Unknown,19
New Jersey,Unknown,19
Barnstable,Unknown,19
Portland,USA,18
Provincetown,Unknown,18
Lebanon,USA,18
Colchester,USA,18
Springfield,USA,18
Windham,USA,18
Eastport,USA,18
"Lynn, Ma",Unknown,17
"Marion, Ma",Unknown,17
Taunton,USA,17
Roxbury,Unknown,16
"Washington, Dc",Unknown,16
